PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Gary Harris,ORL,30,5,1,4,16.5,101.3,123.5,-22.2,5.4,0,27.3,1.1,6.3,3.2,0,43.8,43.8,4.2,89.46,2.3,155
Haywood Highsmith,MIA,28,4,0,4,20.9,101.3,140.6,-39.4,7.8,1,14.8,5.3,12.2,8.7,14.8,76.3,76.3,12.6,91.97,7,160
Caleb Houstan,ORL,22,5,1,4,9.5,101.1,135.9,-34.8,2.9,0.5,5.9,3.9,4.4,4.2,11.8,21.4,21.4,14.2,94.97,-3.3,95
Paul Reed,DET,25,5,2,3,10.6,100.9,92.9,8,3.2,0.2,5.9,14,12.3,13,29.4,62.5,65.8,12.3,102.08,9.5,113
Ja Morant,MEM,25,3,0,3,27.3,100.6,112.1,-11.5,30.6,2.5,19,1.1,4.9,3,7.6,45.3,47.5,31.2,103.17,10.7,178
Jaren Jackson Jr.,MEM,25,4,0,4,34.2,100.3,118.9,-18.5,7.2,0.55,7.1,5.9,7.4,6.6,12.9,40.5,47.9,23.1,103.95,4.9,296
Wendell Carter Jr.,ORL,26,5,1,4,32.4,100.3,121.4,-21,6.2,0.75,10.3,10.9,23.3,16.6,13.8,56.3,57.4,14.5,91.79,10.5,311
Gary Payton II,GSW,32,11,4,7,16.4,100.3,112.1,-11.8,14.7,2.67,23.2,5.3,7.7,6.5,8.7,54.3,54.3,12.5,97.78,7.2,362
Moses Moody,GSW,22,12,5,7,16.1,100.3,107.6,-7.3,12.4,3.5,13.2,4,8.5,6.1,3.8,44.4,48.6,19.8,97.72,8.3,390
Ariel Hukporti,NYK,23,1,0,1,2.1,100,0,100,0,0,0,0,66.7,40,0,100,100,20,80,114.3,4
Ben Simmons,LAC,28,5,2,3,8.3,100,91,9,13.3,2,33.3,6.7,9.1,7.9,16.7,33.3,33.3,8.2,102.07,-0.4,88
Goga Bitadze,ORL,25,3,0,3,3.8,100,125,-25,12.5,0,50,0,37.5,17.6,0,100,100,4.2,84.46,1.6,20
Jaxson Hayes,LAL,24,4,1,3,7.6,100,131,-31,6.7,1,9.1,17.2,10.3,13.8,9.1,37.5,39.4,14.9,91.86,-0.9,59
Luka Garza,MIN,26,2,2,0,2.4,100,88.9,11.1,0,0,0,25,0,10,0,100,100,7.7,94.02,15.8,10
Quinten Post,GSW,25,12,5,7,12.2,100,103.1,-3.1,13.8,2,17.6,4.1,15.1,9.6,8.8,43.8,45.2,17.3,94.59,5.7,289
Jonathan Isaac,ORL,27,5,1,4,13.8,99.2,110.2,-11,4.8,1,11.1,6.4,9.3,7.6,11.1,62.5,63.4,9.9,89.37,8.9,130
Precious Achiuwa,NYK,25,5,3,2,4.8,97.7,117.4,-19.7,0,0,0,10.3,12.9,11.7,7.1,41.7,45,26.9,89.19,10.6,43
Jericho Sims,MIL,26,5,1,4,11.5,97.5,96,1.5,2.6,0.2,7.7,15.7,15.3,15.5,38.5,100,95.6,8.5,102.75,9.2,122
Nikola Jović,MIA,21,4,0,4,18.7,97.4,128.5,-31.1,14.6,1.2,12.2,5.1,18.2,11.1,10.2,45.7,50.5,24.9,97.41,10.3,152
